epoch,train_loss,val_loss,val_dice,lr
1,0.435595,0.267961,0.707385,0.00010000
2,0.234768,0.263918,0.728688,0.00010000
3,0.183417,0.173128,0.828114,0.00010000
4,0.155358,0.241618,0.790799,0.00010000
5,0.142035,0.162923,0.837751,0.00010000
6,0.135181,0.246071,0.771615,0.00010000
7,0.129037,0.167471,0.842528,0.00010000
